Time,Engine_Load,Manifold_Absolute_Pressure,Engine_Speed,Intake_Air_Temperature,Throttle_Opening_Angle,Rear_O2_Sensor,Atmospheric_Pressure,Manifold_Relative_Pressure
5.46,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.537,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.614,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.692,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.768,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.846,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.99,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.066,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.143,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.219,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.296,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.373,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.45,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.527,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.604,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.682,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.758,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.836,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.913,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
6.99,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.067,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.144,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.221,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.298,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.375,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.49,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.567,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.644,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.721,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.797,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.874,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
7.95,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.027,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.103,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.182,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.259,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.342,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.419,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.496,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.594,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.67,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.747,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.824,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.902,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
8.979,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.056,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.133,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.258,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.335,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.455,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.531,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.608,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.702,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.783,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.86,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
9.936,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.013,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.095,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.187,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.264,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.341,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.421,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.499,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.576,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.653,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.73,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.807,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.884,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
10.964,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.039,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.171,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.246,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.325,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.402,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.479,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.556,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.645,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.8,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.887,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
11.963,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
12.171,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
12.26,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
12.363,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
12.892,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
13.149,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
13.398,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
13.821,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.022,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.15,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.229,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.426,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.521,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.598,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.673,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.764,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.841,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.919,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
14.994,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.071,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.148,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.224,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.33,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.407,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.483,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.56,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.637,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.724,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.802,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.878,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
15.955,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.032,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.109,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.19,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.266,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.343,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.483,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.56,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.637,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.725,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.802,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.894,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
16.975,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.052,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.136,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.225,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.301,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.379,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.456,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.533,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.61,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.687,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.764,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.841,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.92,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
17.997,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.074,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.151,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.227,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.305,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.382,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.459,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.536,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.613,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.69,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.767,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.844,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.921,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
18.998,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.075,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.152,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.229,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.306,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.382,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.459,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.69,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.848,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
19.948,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.028,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.104,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.181,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.259,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.336,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.412,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.492,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.64,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
20.997,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
21.42,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
21.81,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
22.069,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
22.215,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
22.455,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
22.579,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
22.665,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
22.741,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
22.825,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
22.928,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.005,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.082,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.19,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.281,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.371,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.546,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.682,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.759,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.836,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
23.912,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.017,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.098,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.175,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.252,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.421,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.522,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.599,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.677,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.763,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.841,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.918,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
24.995,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.072,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.149,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.39,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.466,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.543,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.62,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.697,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.773,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.85,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
25.927,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.003,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.081,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.157,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.234,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.311,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.416,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.493,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.57,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.647,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.724,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.801,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.879,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
26.956,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.033,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.11,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.187,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.264,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.364,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.441,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.563,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.64,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.736,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.813,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.904,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
27.981,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.058,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.148,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.225,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.3,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.379,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.456,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.533,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.61,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.687,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.764,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.872,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
28.949,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.026,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.102,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.179,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.257,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.336,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.413,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.49,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.567,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.644,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.721,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.798,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.875,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
29.952,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.029,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.106,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.183,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.259,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.349,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.425,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.502,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.579,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.656,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.733,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.81,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.887,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
30.964,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.041,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.118,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.232,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.309,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.386,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.463,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.54,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.617,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.693,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.77,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.847,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
31.923,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.0,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.077,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.154,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.23,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.315,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.392,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.476,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.553,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.63,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.707,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.784,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.861,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
32.937,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.014,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.091,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.167,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.244,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.321,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.398,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.475,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.551,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.628,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.705,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.781,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.858,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
33.936,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.012,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.09,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.167,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.244,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.321,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.398,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.475,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.552,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.629,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.706,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.783,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.86,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
34.937,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.014,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.091,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.168,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.244,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.321,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.398,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.475,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.552,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.648,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.725,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.802,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.879,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
35.954,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
36.033,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
36.11,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
36.187,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
36.264,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
36.341,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
36.417,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
36.61,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
36.73,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
