Time,Manifold_Absolute_Pressure,Intake_Air_Temperature,Front_O2_Sensor_No2,Throttle_Sensor_Voltage,Fuel_Injection_No1_Pulse_Width,Fuel_Tank_Pressure
4.796,0.52,-7,14.06,2.24,1.024,0.7
4.855,0.52,-7,14.06,2.24,1.024,0.7
4.913,0.52,-7,14.06,2.24,1.024,0.7
4.971,0.52,-7,14.06,2.24,1.024,0.7
5.029,0.52,-7,14.06,2.24,1.024,0.7
5.087,0.52,-7,14.06,2.24,1.024,0.7
5.145,0.52,-7,14.06,2.24,1.024,0.7
5.203,0.52,-7,14.06,2.24,1.024,0.7
5.261,0.52,-7,14.06,2.24,1.024,0.7
5.319,0.52,-7,14.06,2.24,1.024,0.7
5.377,0.52,-7,14.06,2.24,1.024,0.7
5.435,0.52,-7,14.06,2.24,1.024,0.7
5.492,0.52,-7,14.06,2.24,1.024,0.7
5.551,0.52,-7,14.06,2.24,1.024,0.7
5.609,0.52,-7,14.06,2.24,1.024,0.7
5.667,0.52,-7,14.06,2.24,1.024,0.7
5.726,0.52,-7,14.06,2.24,1.024,0.7
5.784,0.52,-7,14.06,2.24,1.024,0.7
5.842,0.52,-7,14.06,2.24,1.024,0.7
5.9,0.52,-7,14.06,2.24,1.024,0.7
5.958,0.52,-7,14.06,2.24,1.024,0.7
6.017,0.52,-7,14.06,2.24,1.024,0.7
6.075,0.52,-7,14.06,2.24,1.024,0.7
6.133,0.52,-7,14.06,2.24,1.024,0.7
6.191,0.52,-7,14.06,2.24,1.024,0.7
6.249,0.52,-7,14.06,2.24,1.024,0.7
6.308,0.52,-7,14.06,2.24,1.024,0.7
6.366,0.52,-7,14.06,2.24,1.024,0.7
6.424,0.52,-7,14.06,2.24,1.024,0.7
6.482,0.52,-7,14.06,2.24,1.024,0.7
6.54,0.52,-7,14.06,2.24,1.024,0.7
6.598,0.52,-7,14.06,2.24,1.024,0.7
6.656,0.52,-7,14.06,2.24,1.024,0.7
6.713,0.52,-7,14.06,2.24,1.024,0.7
6.772,0.52,-7,14.06,2.24,1.024,0.7
6.83,0.52,-7,14.06,2.24,1.024,0.7
6.888,0.52,-7,14.06,2.24,1.024,0.7
6.946,0.52,-7,14.06,2.24,1.024,0.7
7.004,0.52,-7,14.06,2.24,1.024,0.7
7.062,0.52,-7,14.06,2.24,1.024,0.7
7.12,0.52,-7,14.06,2.24,1.024,0.7
7.178,0.52,-7,14.06,2.24,1.024,0.7
7.236,0.52,-7,14.06,2.24,1.024,0.7
7.294,0.52,-7,14.06,2.24,1.024,0.7
7.352,0.52,-7,14.06,2.24,1.024,0.7
7.41,0.52,-7,14.06,2.24,1.024,0.7
7.468,0.52,-7,14.06,2.24,1.024,0.7
7.526,0.52,-7,14.06,2.24,1.024,0.7
7.585,0.52,-7,14.06,2.24,1.024,0.7
7.643,0.52,-7,14.06,2.24,1.024,0.7
7.701,0.52,-7,14.06,2.24,1.024,0.7
7.758,0.52,-7,14.06,2.24,1.024,0.7
7.816,0.52,-7,14.06,2.24,1.024,0.7
7.875,0.52,-7,14.06,2.24,1.024,0.7
7.934,0.52,-7,14.06,2.24,1.024,0.7
7.991,0.52,-7,14.06,2.24,1.024,0.7
8.05,0.52,-7,14.06,2.24,1.024,0.7
8.107,0.52,-7,14.06,2.24,1.024,0.7
8.165,0.52,-7,14.06,2.24,1.024,0.7
8.223,0.52,-7,14.06,2.24,1.024,0.7
8.282,0.52,-7,14.06,2.24,1.024,0.7
8.34,0.52,-7,14.06,2.24,1.024,0.7
8.398,0.52,-7,14.06,2.24,1.024,0.7
8.456,0.52,-7,14.06,2.24,1.024,0.7
8.514,0.52,-7,14.06,2.24,1.024,0.7
8.572,0.52,-7,14.06,2.24,1.024,0.7
8.631,0.52,-7,14.06,2.24,1.024,0.7
8.689,0.52,-7,14.06,2.24,1.024,0.7
8.747,0.52,-7,14.06,2.24,1.024,0.7
8.805,0.52,-7,14.06,2.24,1.024,0.7
8.864,0.52,-7,14.06,2.24,1.024,0.7
8.922,0.52,-7,14.06,2.24,1.024,0.7
8.98,0.52,-7,14.06,2.24,1.024,0.7
9.038,0.52,-7,14.06,2.24,1.024,0.7
9.096,0.52,-7,14.06,2.24,1.024,0.7
9.154,0.52,-7,14.06,2.24,1.024,0.7
9.212,0.52,-7,14.06,2.24,1.024,0.7
9.27,0.52,-7,14.06,2.24,1.024,0.7
9.329,0.52,-7,14.06,2.24,1.024,0.7
9.386,0.52,-7,14.06,2.24,1.024,0.7
9.445,0.52,-7,14.06,2.24,1.024,0.7
9.503,0.52,-7,14.06,2.24,1.024,0.7
9.561,0.52,-7,14.06,2.24,1.024,0.7
9.619,0.52,-7,14.06,2.24,1.024,0.7
9.677,0.52,-7,14.06,2.24,1.024,0.7
9.735,0.52,-7,14.06,2.24,1.024,0.7
9.793,0.52,-7,14.06,2.24,1.024,0.7
9.851,0.52,-7,14.06,2.24,1.024,0.7
9.909,0.52,-7,14.06,2.24,1.024,0.7
9.968,0.52,-7,14.06,2.24,1.024,0.7
10.026,0.52,-7,14.06,2.24,1.024,0.7
10.084,0.52,-7,14.06,2.24,1.024,0.7
10.141,0.52,-7,14.06,2.24,1.024,0.7
10.2,0.52,-7,14.06,2.24,1.024,0.7
10.258,0.52,-7,14.06,2.24,1.024,0.7
10.315,0.52,-7,14.06,2.24,1.024,0.7
10.374,0.52,-7,14.06,2.24,1.024,0.7
10.432,0.52,-7,14.06,2.24,1.024,0.7
10.49,0.52,-7,14.06,2.24,1.024,0.7
10.549,0.52,-7,14.06,2.24,1.024,0.7
10.607,0.52,-7,14.06,2.24,1.024,0.7
10.665,0.52,-7,14.06,2.24,1.024,0.7
10.723,0.52,-7,14.06,2.24,1.024,0.7
10.781,0.52,-7,14.06,2.24,1.024,0.7
10.84,0.52,-7,14.06,2.24,1.024,0.7
10.898,0.52,-7,14.06,2.24,1.024,0.7
10.955,0.52,-7,14.06,2.24,1.024,0.7
11.014,0.52,-7,14.06,2.24,1.024,0.7
11.071,0.52,-7,14.06,2.24,1.024,0.7
11.13,0.52,-7,14.06,2.24,1.024,0.7
11.188,0.52,-7,14.06,2.24,1.024,0.7
11.246,0.52,-7,14.06,2.24,1.024,0.7
11.303,0.52,-7,14.06,2.24,1.024,0.7
11.362,0.52,-7,14.06,2.24,1.024,0.7
11.42,0.52,-7,14.06,2.24,1.024,0.7
11.478,0.52,-7,14.06,2.24,1.024,0.7
11.535,0.52,-7,14.06,2.24,1.024,0.7
11.594,0.52,-7,14.06,2.24,1.024,0.7
11.652,0.52,-7,14.06,2.24,1.024,0.7
11.71,0.52,-7,14.06,2.24,1.024,0.7
11.768,0.52,-7,14.06,2.24,1.024,0.7
11.827,0.52,-7,14.06,2.24,1.024,0.7
11.885,0.52,-7,14.06,2.24,1.024,0.7
11.943,0.52,-7,14.06,2.24,1.024,0.7
12.002,0.52,-7,14.06,2.24,1.024,0.7
12.06,0.52,-7,14.06,2.24,1.024,0.7
12.118,0.52,-7,14.06,2.24,1.024,0.7
12.176,0.52,-7,14.06,2.24,1.024,0.7
12.234,0.52,-7,14.06,2.24,1.024,0.7
12.292,0.52,-7,14.06,2.24,1.024,0.7
12.351,0.52,-7,14.06,2.24,1.024,0.7
12.409,0.52,-7,14.06,2.24,1.024,0.7
12.467,0.52,-7,14.06,2.24,1.024,0.7
12.526,0.52,-7,14.06,2.24,1.024,0.7
12.584,0.52,-7,14.06,2.24,1.024,0.7
12.641,0.52,-7,14.06,2.24,1.024,0.7
12.699,0.52,-7,14.06,2.24,1.024,0.7
12.757,0.52,-7,14.06,2.24,1.024,0.7
12.815,0.52,-7,14.06,2.24,1.024,0.7
12.873,0.52,-7,14.06,2.24,1.024,0.7
12.931,0.52,-7,14.06,2.24,1.024,0.7
12.989,0.52,-7,14.06,2.24,1.024,0.7
13.047,0.52,-7,14.06,2.24,1.024,0.7
13.106,0.52,-7,14.06,2.24,1.024,0.7
13.164,0.52,-7,14.06,2.24,1.024,0.7
13.222,0.52,-7,14.06,2.24,1.024,0.7
13.281,0.52,-7,14.06,2.24,1.024,0.7
13.339,0.52,-7,14.06,2.24,1.024,0.7
13.397,0.52,-7,14.06,2.24,1.024,0.7
13.456,0.52,-7,14.06,2.24,1.024,0.7
13.513,0.52,-7,14.06,2.24,1.024,0.7
13.571,0.52,-7,14.06,2.24,1.024,0.7
