Time,Engine_Load,Coolant_Temperature,Manifold_Absolute_Pressure,Engine_Speed,Vehicle_Speed,Intake_Air_Temperature,Manifold_Relative_Pressure
19.938,30.98,86,0.469,815.25,0,61,-0.541
20.077,32.157,86,0.469,813.5,0,61,-0.541
20.235,30.98,86,0.469,811.25,0,61,-0.541
20.397,33.333,86,0.469,807.75,0,61,-0.541
20.577,33.725,86,0.469,813.5,0,61,-0.541
20.745,31.765,86,0.469,801.0,0,61,-0.541
20.891,32.157,86,0.469,805.5,0,61,-0.541
21.033,33.725,86,0.469,804.25,0,61,-0.541
21.178,32.157,86,0.469,805.0,0,61,-0.541
21.329,32.157,86,0.469,803.5,0,61,-0.541
21.494,34.118,86,0.469,796.0,0,61,-0.541
21.633,32.549,86,0.469,802.25,0,61,-0.541
21.765,31.765,86,0.469,801.5,0,61,-0.541
21.924,34.118,86,0.469,800.25,0,61,-0.541
22.092,33.333,86,0.469,799.25,0,61,-0.541
22.242,32.549,86,0.469,797.5,0,61,-0.53
22.376,34.118,86,0.479,796.0,0,61,-0.53
22.536,33.333,86,0.479,794.0,0,61,-0.53
22.678,32.549,86,0.479,791.0,0,61,-0.53
22.81,32.549,86,0.479,785.5,0,61,-0.53
22.95,34.118,86,0.479,784.25,0,61,-0.53
23.097,31.765,86,0.479,784.5,0,61,-0.53
23.262,31.373,86,0.479,787.5,0,61,-0.53
23.407,32.941,86,0.479,781.25,0,61,-0.53
23.549,34.51,86,0.479,779.5,0,61,-0.53
23.713,33.725,86,0.479,774.75,0,61,-0.53
23.87,34.51,86,0.479,778.25,0,61,-0.53
24.037,32.549,86,0.479,784.5,0,61,-0.53
24.182,33.725,86,0.479,779.75,0,61,-0.53
24.346,33.725,86,0.479,790.25,0,61,-0.53
24.499,34.51,86,0.479,787.75,0,61,-0.53
24.636,32.157,86,0.479,785.5,0,61,-0.53
24.78,32.549,86,0.479,787.75,0,61,-0.53
24.955,34.118,86,0.479,798.5,0,61,-0.53
25.122,34.118,86,0.479,802.5,0,61,-0.53
25.276,32.157,86,0.479,802.75,0,61,-0.53
25.411,31.765,86,0.479,806.75,0,61,-0.53
25.574,34.118,86,0.479,805.75,0,61,-0.53
25.715,31.765,86,0.479,802.5,0,61,-0.53
25.845,33.333,86,0.479,795.5,0,61,-0.53
25.997,34.118,86,0.479,797.25,0,61,-0.53
26.132,31.373,86,0.479,798.5,0,61,-0.53
26.293,32.941,86,0.479,800.5,0,61,-0.53
26.45,33.725,86,0.479,810.25,0,61,-0.53
26.584,30.98,86,0.479,804.5,0,61,-0.53
26.746,32.549,86,0.479,812.0,0,61,-0.53
26.913,33.725,86,0.479,813.75,0,61,-0.53
27.074,31.765,86,0.469,812.75,0,61,-0.541
27.228,31.373,86,0.469,804.5,0,61,-0.53
27.38,32.549,86,0.469,805.5,0,61,-0.541
27.54,30.98,86,0.469,806.0,0,61,-0.541
27.702,31.765,86,0.469,805.75,0,61,-0.541
27.857,33.333,86,0.469,812.0,0,61,-0.541
28.028,30.588,86,0.469,809.25,0,61,-0.541
28.186,30.588,86,0.469,809.75,0,61,-0.541
28.338,33.333,86,0.469,808.75,0,61,-0.53
28.477,32.549,86,0.479,810.0,0,61,-0.53
28.622,30.588,86,0.469,810.25,0,61,-0.541
28.781,33.333,86,0.479,809.75,0,61,-0.53
28.945,32.549,86,0.469,802.25,0,61,-0.53
29.109,30.98,86,0.469,804.75,0,61,-0.53
29.243,32.941,86,0.469,807.75,0,61,-0.53
29.412,31.373,86,0.469,803.75,0,61,-0.541
29.563,31.373,86,0.469,802.5,0,61,-0.53
29.719,32.941,86,0.469,810.25,0,61,-0.541
29.881,30.98,85,0.469,810.25,0,61,-0.53
30.061,30.98,85,0.469,800.5,0,61,-0.541
30.222,31.373,85,0.469,801.25,0,61,-0.541
30.391,33.333,85,0.469,808.0,0,61,-0.53
30.569,32.157,85,0.479,804.5,0,61,-0.53
30.745,31.765,85,0.479,798.75,0,61,-0.53
30.876,31.373,85,0.479,802.25,0,61,-0.53
31.024,32.157,85,0.479,804.5,0,61,-0.53
31.169,31.373,85,0.469,804.0,0,61,-0.53
31.315,32.157,85,0.469,804.0,0,61,-0.53
31.469,31.765,85,0.469,803.25,0,61,-0.541
31.614,30.98,85,0.469,804.25,0,61,-0.53
31.792,32.157,85,0.469,803.0,0,61,-0.541
31.973,33.333,85,0.469,811.5,0,61,-0.541
32.152,31.373,85,0.469,807.0,0,61,-0.541
32.286,30.98,85,0.469,804.75,0,61,-0.541
32.429,32.941,85,0.469,806.0,0,61,-0.541
32.61,30.98,85,0.469,801.75,0,61,-0.541
32.787,31.765,85,0.469,805.75,0,61,-0.541
32.97,31.373,85,0.479,799.75,0,61,-0.53
33.133,33.333,85,0.479,800.75,0,61,-0.53
33.287,33.333,85,0.479,805.25,0,61,-0.53
33.423,31.373,85,0.479,800.5,0,61,-0.53
33.568,32.941,85,0.479,803.0,0,61,-0.53
33.712,31.373,85,0.469,805.75,0,61,-0.53
33.844,32.549,85,0.469,809.0,0,61,-0.53
34.004,32.549,85,0.469,809.5,0,61,-0.541
34.156,30.588,85,0.469,810.75,0,61,-0.541
34.308,30.98,85,0.469,809.0,0,61,-0.541
34.461,31.373,85,0.469,806.5,0,61,-0.541
34.624,30.98,85,0.469,811.25,0,61,-0.541
34.771,32.549,85,0.469,812.0,0,61,-0.541
34.949,32.549,85,0.469,809.75,0,61,-0.541
35.128,30.98,85,0.469,803.5,0,61,-0.541
35.298,30.98,85,0.469,810.5,0,61,-0.541
35.461,31.765,85,0.469,812.5,0,61,-0.541
35.609,31.373,85,0.469,814.25,0,61,-0.541
35.77,30.196,85,0.469,809.75,0,61,-0.541
35.918,32.157,85,0.469,812.0,0,61,-0.541
36.062,31.765,85,0.469,808.5,0,61,-0.541
36.21,32.157,85,0.469,808.0,0,61,-0.541
36.358,32.157,85,0.469,810.5,0,61,-0.541
36.507,31.765,85,0.469,809.75,0,61,-0.541
36.657,32.157,85,0.469,813.25,0,61,-0.541
36.824,32.549,85,0.469,805.5,0,61,-0.541
36.964,30.98,85,0.469,805.75,0,61,-0.541
37.125,30.98,85,0.469,807.25,0,61,-0.541
37.299,32.157,85,0.469,815.5,0,61,-0.541
37.442,32.157,85,0.469,812.25,0,61,-0.541
37.617,31.765,85,0.469,812.75,0,61,-0.541
37.78,32.549,85,0.469,808.0,0,61,-0.541
37.912,30.98,85,0.469,817.0,0,61,-0.541
38.059,32.549,85,0.469,815.0,0,61,-0.541
38.207,32.549,85,0.469,816.5,0,61,-0.541
38.359,30.588,85,0.469,817.5,0,61,-0.541
38.495,32.941,85,0.469,817.25,0,61,-0.541
38.627,30.196,85,0.469,814.0,0,61,-0.541
38.778,31.373,85,0.469,815.5,0,61,-0.541
38.925,32.549,85,0.469,814.25,0,61,-0.541
39.063,30.98,85,0.469,807.0,0,61,-0.541
39.213,32.941,85,0.469,805.5,0,61,-0.541
39.387,32.157,85,0.469,813.5,0,61,-0.541
39.536,31.765,85,0.469,814.75,0,61,-0.541
39.684,32.157,85,0.469,812.25,0,61,-0.541
39.833,31.765,85,0.469,812.25,0,61,-0.541
39.964,30.98,85,0.469,813.25,0,61,-0.541
40.109,31.765,85,0.469,814.0,0,61,-0.541
40.257,30.588,85,0.469,814.5,0,61,-0.541
40.437,32.157,85,0.469,811.0,0,61,-0.541
40.586,32.549,85,0.469,809.75,0,61,-0.541
40.735,30.588,85,0.469,807.0,0,61,-0.541
40.902,30.98,85,0.469,798.25,0,61,-0.541
41.05,32.941,85,0.469,798.75,0,61,-0.541
41.223,32.941,85,0.469,805.25,0,61,-0.541
41.385,30.588,85,0.469,804.75,0,61,-0.541
41.524,32.941,85,0.469,804.75,0,61,-0.541
41.669,32.941,85,0.469,808.25,0,61,-0.541
41.818,30.98,85,0.469,801.5,0,61,-0.541
41.968,32.157,85,0.469,809.75,0,61,-0.541
42.147,32.549,85,0.469,809.25,0,61,-0.541
42.331,31.373,85,0.469,801.0,0,61,-0.541
42.478,31.373,85,0.469,801.5,0,61,-0.541
42.64,32.157,85,0.469,807.25,0,61,-0.541
42.781,31.765,85,0.469,798.75,0,61,-0.541
42.944,30.588,85,0.469,807.75,0,61,-0.541
43.077,32.549,85,0.469,800.75,0,61,-0.541
43.211,31.765,85,0.469,798.0,0,61,-0.541
43.352,30.98,85,0.469,797.5,0,61,-0.541
43.514,32.157,85,0.469,796.75,0,61,-0.541
43.684,32.157,85,0.469,798.5,0,61,-0.541
43.849,30.98,85,0.469,805.75,0,61,-0.541
44.014,31.765,85,0.469,806.0,0,61,-0.541
44.178,32.549,85,0.469,797.75,0,61,-0.541
44.346,33.333,85,0.469,794.25,0,61,-0.541
44.494,30.588,85,0.469,796.0,0,61,-0.541
44.638,32.549,85,0.469,796.75,0,61,-0.541
44.803,33.333,85,0.469,795.0,0,61,-0.541
44.958,30.98,85,0.469,799.0,0,61,-0.541
45.108,31.765,85,0.469,790.5,0,61,-0.541
45.272,32.941,85,0.479,797.75,0,61,-0.53
45.434,33.333,85,0.479,799.25,0,61,-0.53
45.602,31.765,85,0.479,794.0,0,61,-0.53
45.748,31.765,85,0.479,802.0,0,61,-0.53
45.908,32.549,85,0.479,793.75,0,61,-0.53
46.047,31.765,85,0.479,801.25,0,61,-0.53
46.188,31.373,85,0.479,802.0,0,61,-0.53
46.323,32.549,85,0.469,803.5,0,61,-0.53
46.482,32.549,85,0.469,803.75,0,61,-0.53
46.622,30.98,85,0.469,807.25,0,61,-0.53
46.783,31.765,85,0.469,805.5,0,61,-0.541
46.936,31.765,85,0.469,806.25,0,61,-0.541
47.116,31.373,85,0.469,799.0,0,61,-0.541
47.266,31.373,85,0.469,798.75,0,61,-0.541
47.416,33.333,85,0.469,798.0,0,61,-0.541
47.569,31.765,85,0.469,795.25,0,61,-0.541
47.717,30.98,85,0.469,796.0,0,61,-0.53
47.869,32.157,85,0.469,797.25,0,61,-0.541
48.066,32.941,85,0.469,806.25,0,61,-0.541
48.243,30.588,85,0.469,800.75,0,61,-0.541
48.391,30.98,85,0.469,800.75,0,61,-0.541
48.524,32.157,85,0.469,802.0,0,61,-0.541
48.671,30.588,85,0.469,799.75,0,61,-0.541
48.84,31.373,85,0.469,796.75,0,61,-0.541
49.003,32.157,85,0.469,795.0,0,61,-0.541
49.141,33.333,85,0.469,795.0,0,61,-0.541
49.286,30.98,85,0.469,794.0,0,61,-0.541
49.436,32.157,85,0.469,796.0,0,61,-0.541
49.6,32.941,85,0.469,796.5,0,61,-0.541
49.755,30.98,85,0.469,798.5,0,61,-0.541
49.886,31.765,85,0.469,798.25,0,61,-0.541
50.028,32.157,85,0.469,803.5,0,61,-0.541
50.211,30.588,85,0.469,814.0,0,61,-0.541
50.351,31.765,85,0.469,807.25,0,61,-0.541
50.491,32.157,85,0.469,807.75,0,61,-0.541
50.652,30.588,85,0.469,813.25,0,61,-0.541
50.788,31.765,85,0.469,809.25,0,61,-0.541
50.922,30.196,85,0.469,806.25,0,61,-0.541
51.055,31.765,85,0.469,806.75,0,61,-0.541
51.188,31.765,85,0.469,813.5,0,61,-0.541
51.328,29.804,85,0.469,814.25,0,61,-0.541
51.489,32.549,85,0.469,814.5,0,61,-0.541
51.646,31.765,85,0.469,804.25,0,61,-0.541
51.793,30.196,85,0.469,811.5,0,61,-0.541
51.949,32.941,85,0.469,804.25,0,61,-0.541
52.094,31.373,85,0.469,806.5,0,61,-0.541
52.248,30.588,85,0.469,809.75,0,61,-0.541
52.396,31.373,85,0.469,812.75,0,61,-0.541
52.548,29.804,85,0.469,813.0,0,61,-0.541
52.683,31.373,85,0.469,812.5,0,61,-0.541
52.829,30.98,85,0.469,811.25,0,61,-0.541
52.975,31.373,85,0.469,815.25,0,61,-0.541
53.154,31.765,85,0.469,809.0,0,61,-0.541
53.303,31.765,85,0.469,808.0,0,61,-0.541
53.444,30.98,85,0.469,809.25,0,61,-0.541
53.576,32.157,85,0.469,803.5,0,61,-0.541
53.757,31.373,85,0.469,810.75,0,61,-0.541
53.934,31.373,85,0.469,809.5,0,61,-0.541
54.099,32.157,85,0.469,801.75,0,61,-0.541
54.247,30.98,85,0.469,804.75,0,61,-0.541
54.405,30.196,85,0.469,806.25,0,61,-0.541
54.554,32.157,85,0.469,803.5,0,61,-0.541
54.706,32.157,85,0.469,803.25,0,61,-0.541
54.869,30.196,85,0.469,809.25,0,61,-0.541
55.031,30.588,85,0.469,811.25,0,61,-0.541
55.187,32.157,85,0.469,809.0,0,61,-0.541
55.341,30.98,85,0.469,808.5,0,61,-0.541
55.507,30.98,85,0.469,798.75,0,61,-0.541
55.653,32.157,85,0.469,799.5,0,61,-0.541
55.811,30.98,85,0.469,800.25,0,61,-0.541
55.978,30.588,85,0.469,798.5,0,61,-0.541
56.156,32.549,85,0.469,802.75,0,61,-0.541
56.335,32.157,85,0.469,796.0,0,61,-0.541
56.499,32.549,85,0.469,796.25,0,61,-0.541
56.651,30.98,85,0.469,792.5,0,61,-0.541
56.806,32.157,85,0.469,793.25,0,61,-0.541
56.967,32.941,85,0.469,801.5,0,61,-0.541
57.145,32.549,85,0.469,802.0,0,61,-0.541
57.295,30.588,85,0.469,798.5,0,61,-0.541
57.441,32.157,85,0.469,800.5,0,61,-0.541
57.572,31.373,85,0.469,803.0,0,61,-0.541
57.715,30.196,85,0.469,794.75,0,61,-0.541
57.863,32.549,85,0.469,797.0,0,61,-0.541
58.029,31.373,85,0.469,803.5,0,61,-0.541
58.175,30.98,85,0.469,803.25,0,61,-0.541
58.305,31.765,85,0.469,796.0,0,61,-0.541
58.469,31.373,85,0.469,801.25,0,61,-0.541
58.642,30.98,85,0.469,802.25,0,61,-0.541
58.808,30.98,85,0.469,791.5,0,61,-0.541
58.965,31.765,85,0.469,790.25,0,61,-0.541
59.11,32.941,85,0.469,787.25,0,61,-0.541
59.277,31.765,85,0.469,788.5,0,61,-0.541
59.425,31.373,85,0.469,788.25,0,61,-0.53
59.588,31.765,85,0.479,787.75,0,61,-0.53
59.75,32.941,85,0.479,796.75,0,61,-0.53
59.9,33.333,85,0.479,800.0,0,61,-0.53
60.035,30.588,85,0.469,797.0,0,61,-0.53
60.19,32.549,85,0.469,798.25,0,61,-0.53
60.32,30.98,85,0.469,801.0,0,61,-0.541
60.468,30.588,85,0.469,801.75,0,61,-0.541
60.664,30.588,85,0.469,807.75,0,61,-0.541
60.841,32.941,85,0.469,802.0,0,61,-0.541
60.986,31.373,85,0.469,798.5,0,61,-0.541
61.148,30.98,85,0.469,797.5,0,61,-0.541
61.288,32.941,85,0.469,799.5,0,61,-0.541
61.448,31.765,85,0.469,799.75,0,61,-0.541
61.604,30.98,85,0.469,800.25,0,61,-0.541
61.759,32.157,85,0.469,800.25,0,61,-0.541
61.907,31.373,85,0.469,800.25,0,61,-0.541
62.056,30.98,85,0.469,801.25,0,61,-0.541
62.191,32.157,85,0.469,798.75,0,61,-0.541
62.338,31.765,85,0.469,797.5,0,61,-0.541
62.486,30.588,85,0.469,796.75,0,61,-0.541
62.644,32.549,85,0.469,797.75,0,61,-0.541
62.798,32.157,85,0.469,798.5,0,61,-0.541
62.931,30.98,85,0.469,796.0,0,61,-0.541
63.095,32.549,85,0.469,796.5,0,61,-0.541
63.241,32.549,85,0.469,795.25,0,61,-0.541
63.388,30.98,85,0.469,793.75,0,61,-0.541
63.551,31.373,85,0.469,795.0,0,61,-0.541
63.703,32.549,85,0.469,796.25,0,61,-0.541
63.864,32.549,85,0.469,804.5,0,61,-0.541
64.028,30.98,85,0.469,805.0,0,61,-0.541
64.182,30.98,85,0.469,804.0,0,61,-0.541
64.33,32.941,85,0.469,804.25,0,61,-0.541
64.462,30.98,85,0.469,797.0,0,61,-0.541
64.644,31.373,85,0.469,800.25,0,61,-0.541
64.819,31.373,85,0.469,794.5,0,61,-0.541
65.002,31.765,85,0.469,803.0,0,61,-0.53
65.165,31.765,85,0.469,804.5,0,61,-0.541
65.315,31.765,85,0.469,806.0,0,61,-0.541
65.471,31.765,85,0.469,805.0,0,61,-0.541
65.609,32.549,85,0.469,801.5,0,61,-0.541
65.752,30.98,85,0.469,800.0,0,61,-0.541
65.896,32.941,85,0.469,799.0,0,61,-0.541
66.062,32.157,85,0.469,801.75,0,61,-0.541
66.211,30.98,85,0.469,802.75,0,61,-0.53
66.359,30.588,85,0.469,805.0,0,61,-0.541
66.532,32.157,85,0.469,800.0,0,61,-0.541
66.712,31.765,85,0.469,797.25,0,61,-0.541
66.844,30.98,85,0.469,796.25,0,61,-0.541
66.994,32.157,85,0.469,796.5,0,61,-0.541
67.141,32.157,85,0.469,796.0,0,61,-0.541
67.303,30.588,85,0.469,795.5,0,61,-0.541
67.435,31.373,85,0.469,795.75,0,61,-0.541
67.581,32.941,85,0.469,795.0,0,61,-0.541
67.748,30.588,85,0.469,796.5,0,61,-0.541
67.895,30.98,85,0.469,794.75,0,61,-0.541
68.028,32.549,85,0.469,795.75,0,61,-0.541
68.212,32.941,85,0.469,794.0,0,61,-0.541
68.374,30.588,85,0.469,802.25,0,61,-0.541
68.527,31.373,85,0.469,802.75,0,61,-0.541
68.683,33.333,85,0.469,803.25,0,61,-0.541
68.818,30.196,85,0.469,804.5,0,61,-0.541
68.966,31.765,85,0.469,806.75,0,61,-0.541
69.113,32.941,85,0.469,805.75,0,61,-0.541
69.275,30.196,85,0.469,805.0,0,61,-0.541
69.415,32.157,85,0.469,805.0,0,61,-0.541
69.577,33.333,85,0.469,804.5,0,61,-0.541
69.713,30.98,85,0.469,801.25,0,61,-0.541
69.86,32.157,85,0.469,795.75,0,61,-0.541
70.039,32.549,85,0.469,802.75,0,61,-0.541
70.188,32.549,85,0.469,803.0,0,61,-0.53
70.338,31.765,85,0.469,804.0,0,61,-0.541
70.517,30.98,85,0.469,796.5,0,61,-0.541
70.682,32.941,85,0.469,795.5,0,61,-0.541
70.836,33.333,85,0.469,797.75,0,61,-0.541
70.99,30.98,85,0.469,802.75,0,61,-0.541
71.138,32.549,85,0.469,805.0,0,61,-0.541
71.287,32.157,85,0.469,806.0,0,61,-0.541
71.457,31.373,85,0.469,806.25,0,61,-0.541
71.6,30.98,85,0.469,809.0,0,61,-0.541
71.765,32.941,85,0.469,806.75,0,61,-0.541
71.935,31.765,85,0.469,803.0,0,61,-0.541
72.111,30.588,85,0.469,810.75,0,61,-0.541
72.271,32.157,85,0.469,804.0,0,61,-0.541
72.428,32.549,85,0.469,802.5,0,61,-0.541
72.574,31.373,85,0.469,803.75,0,61,-0.541
72.706,32.157,85,0.469,804.5,0,61,-0.541
72.871,32.549,85,0.469,803.5,0,61,-0.541
73.027,32.157,85,0.469,804.0,0,61,-0.541
73.167,32.157,85,0.469,802.75,0,61,-0.541
73.31,31.765,85,0.469,806.75,0,61,-0.541
73.476,32.157,85,0.469,806.25,0,61,-0.541
73.611,30.588,85,0.469,811.0,0,61,-0.541
73.76,31.765,85,0.469,809.5,0,61,-0.541
73.922,30.588,85,0.469,810.75,0,61,-0.541
74.064,31.373,85,0.469,809.0,0,61,-0.541
74.227,32.157,85,0.469,808.0,0,61,-0.541
74.376,30.98,85,0.469,805.0,0,61,-0.541
74.507,30.98,85,0.469,801.75,0,61,-0.541
74.672,32.549,85,0.469,801.75,0,61,-0.541
74.831,31.765,85,0.469,802.5,0,61,-0.541
75.003,30.98,85,0.469,797.5,0,61,-0.541
75.157,31.765,85,0.469,799.5,0,61,-0.541
75.304,32.941,85,0.469,801.0,0,61,-0.541
75.457,30.588,85,0.469,802.25,0,61,-0.541
75.589,31.373,85,0.469,801.0,0,61,-0.541
75.756,32.549,85,0.469,799.0,0,61,-0.541
75.903,30.98,85,0.469,800.5,0,61,-0.541
76.035,32.549,85,0.469,797.5,0,61,-0.541
76.198,32.549,85,0.469,799.25,0,61,-0.541
76.347,30.98,85,0.469,797.5,0,61,-0.541
76.508,32.157,85,0.469,799.5,0,61,-0.541
76.67,32.549,85,0.469,804.5,0,61,-0.541
76.832,31.373,85,0.469,804.75,0,61,-0.541
76.971,30.588,85,0.469,805.75,0,61,-0.541
77.134,32.157,85,0.469,805.75,0,61,-0.541
77.273,31.765,85,0.469,806.0,0,61,-0.541
77.407,30.98,85,0.469,797.5,0,61,-0.541
77.558,32.157,85,0.469,798.25,0,61,-0.541
77.706,30.98,85,0.469,799.0,0,61,-0.541
77.873,31.765,85,0.469,806.0,0,61,-0.541
78.046,32.157,85,0.469,805.75,0,61,-0.541
78.194,32.941,85,0.469,804.0,0,61,-0.541
78.343,31.373,85,0.469,805.5,0,61,-0.541
78.508,30.98,85,0.469,795.75,0,61,-0.541
78.647,32.157,85,0.469,793.25,0,61,-0.541
78.828,33.333,85,0.469,793.5,0,61,-0.541
78.991,30.588,85,0.469,803.75,0,61,-0.541
79.146,30.588,85,0.469,803.5,0,61,-0.541
79.301,32.941,85,0.469,807.25,0,61,-0.541
79.451,30.196,85,0.469,808.0,0,61,-0.541
79.621,30.588,85,0.469,805.0,0,61,-0.541
79.776,32.941,85,0.469,796.0,0,61,-0.541
79.908,32.549,85,0.469,803.25,0,61,-0.541
80.055,31.373,85,0.469,805.0,0,61,-0.541
80.197,32.549,85,0.469,806.5,0,61,-0.541
80.345,30.98,85,0.469,807.25,0,61,-0.541
80.473,31.373,85,0.469,799.5,0,61,-0.541
80.654,32.549,85,0.469,804.5,0,61,-0.541
80.833,32.549,85,0.469,798.75,0,61,-0.541
80.965,30.98,85,0.469,806.25,0,61,-0.541
81.125,30.98,85,0.469,794.75,0,61,-0.541
81.276,32.549,85,0.469,793.5,0,61,-0.541
81.411,30.98,85,0.469,802.0,0,61,-0.541
81.575,30.588,85,0.469,794.5,0,61,-0.541
81.726,32.549,85,0.469,797.0,0,61,-0.541
81.897,32.941,85,0.469,794.75,0,61,-0.541
82.037,30.98,85,0.469,793.0,0,61,-0.541
82.201,31.765,85,0.469,792.0,0,61,-0.541
82.37,32.941,85,0.469,798.25,0,61,-0.53
82.527,31.373,85,0.479,801.25,0,61,-0.53
82.699,30.98,85,0.479,795.0,0,61,-0.53
82.831,31.765,85,0.469,801.25,0,61,-0.53
82.998,32.941,85,0.469,795.5,0,61,-0.53
83.178,33.333,85,0.479,794.5,0,61,-0.53
83.34,30.98,85,0.469,799.25,0,61,-0.53
83.479,32.549,85,0.479,791.75,0,61,-0.53
83.644,32.157,85,0.479,795.5,0,61,-0.53
83.793,32.157,85,0.479,798.75,0,61,-0.53
83.942,31.373,85,0.479,798.0,0,61,-0.53
84.089,31.765,85,0.479,790.25,0,61,-0.53
84.244,32.941,85,0.479,799.25,0,61,-0.53
84.399,32.549,85,0.479,799.0,0,61,-0.53
84.534,31.373,85,0.479,791.5,0,61,-0.53
